Date,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Value
2000-01-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",31.74832
2000-01-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.912372
2000-01-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-01-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",23.812742
2000-01-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",19.734948
2000-01-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-01-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",35.757755
2000-01-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.185112
2000-01-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-01-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",44.641378
2000-01-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",34.220779
2000-01-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-01-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.176559
2000-01-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",89.609836
2000-01-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-02-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",31.974914
2000-02-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.163038
2000-02-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-02-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",24.058445
2000-02-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",19.562542
2000-02-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-02-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",36.059572
2000-02-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.363868
2000-02-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-02-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",44.50317
2000-02-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",34.468238
2000-02-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-02-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.247592
2000-02-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",89.750393
2000-02-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-03-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",32.27704
2000-03-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.413704
2000-03-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-03-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",24.058445
2000-03-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",19.492224
2000-03-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-03-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",36.36139
2000-03-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.542625
2000-03-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-03-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",44.963863
2000-03-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",34.857108
2000-03-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
