feature,importance
inflation_lag_1,0.9781
inflation_roll3_mean,0.9481
inflation_lag_2,0.9386
inflation_roll6_mean,0.8995
inflation_lag_3,0.8935
inflation_lag_4,0.8491
inflation_lag_5,0.8022
inflation_lag_6,0.7524
bdi_roll6_mean,0.5432
bdi_roll3_mean,0.4815
bdi_mean,0.4453
bdi_range,0.4179
bdi_std,0.407
inflation_roll3_std,0.4004
policy_roll3_mean,0.2299
policy_lag_1,0.2239
policy_lag_2,0.2213
policy_rate,0.2173
policy_lag_3,0.2115
brent_lag_3,0.1864
brent_roll6_mean,0.1801
brent_lag_2,0.1696
bdi_trend,0.16
brent_roll3_mean,0.1562
brent_lag_1,0.1546
brent_price,0.1386
policy_increase,0.1202
brent_monthly_change,0.0755
bdi_volatility,0.0717
bdi_momentum_3,0.0289
bdi_extreme_days,0.0267
bdi_momentum_6,0.0189
policy_monthly_change,0.0179
